,Date,User,Tweet,Translation
0,2022-08-09 23:30:12+00:00,guricitynews,"〔💡 2050 탄소중립 아이디어 경진대회〕

🖤 슬로건 🖤
모두가 행복한 우리 마을
ACE(Air, Climate, Energy) 만들기

🧑👩 참가대상
탄소중립에 관심있는
전국 공동체 및 소모임 (팀단위)

🕑 접수기간
2022.8.2.(화) ~ 8.21.(일) 24:00까지

🔍 문의
구리시 환경과 기후대응팀
☎031-550-2325 https://t.co/ivjiuPMBEk","2050 Carbon Neutral Idea Contest

🖤 ​​slogan 🖤
Our village where everyone is happy
Create ACE (Air, Climate, Energy)

🧑 Participation
Interested in carbon neutral
National community and small group (team unit)

🕑 Application period
2022.8.2. (Tue) ~ 8.21. (Sun) 24:00

🔍 Inquiry
Guri City Environment and Climate Response Team
☎031-550-2325 https://t.co/IVJIUPMBEK"
1,2022-08-09 08:29:14+00:00,sunflowerrrr778,"BNK금융그룹, 탄소중립 선언…2050년까지 '넷제로' 달성 https://t.co/dz6Xd06AIA s4lbW","BNK Financial Group, Carbon Neutral Declaration… By 2050, 'Netzero' achieved https://t.co/dz6xd06aia s4lbw"
2,2022-08-09 07:51:33+00:00,perfectcrosss,"""저탄소 경제전환 동참"" BNK금융, 2050년까지 탄소중립 선언 https://t.co/GUw8gZp27V gyMQv","""Low Carbon Economy Conversion"" BNK Finance, Declaration of Carbon Neutral by 2050 https://t.co/guw8gzp27v GYMQV"
3,2022-08-09 06:44:03+00:00,hotdealenjoy,"""저탄소 경제전환 동참"" BNK금융, 2050년까지 탄소중립 선언 https://t.co/aLccF9x3K0 FGDsX","""Low Carbon Economy Conversion"" BNK Finance, Declaration of Carbon Neutral by 2050 https://t.co/ALCCF9X3K0 FGDSX"
4,2022-08-09 04:51:17+00:00,sweetmangouuu,"""저탄소 경제전환 동참"" BNK금융, 2050년까지 탄소중립 선언 https://t.co/c7izBNZECc fv2dM","""Low Carbon Economy Conversion"" BNK Finance, Declaration of Carbon Neutral by 2050 https://t.co/C7IZBNZECC FV2DM"
5,2022-08-09 03:49:14+00:00,sunflowerrrr778,"""저탄소 경제전환 동참"" BNK금융, 2050년까지 탄소중립 선언 https://t.co/W9essieleF QuFyi","""Low Carbon Economy Conversion"" BNK Finance, Declaration of Carbon Neutral by 2050 https://t.co/W9ESSIELEF"
6,2022-08-09 00:23:33+00:00,perfectcrosss,"BNK금융그룹, 탄소중립 선언…2050년까지 '넷제로' 달성 https://t.co/pMkihFb78x 2qEvr","BNK Financial Group, Carbon Neutral Declaration… By 2050, 'Netzero' achieved https://t.co/pmkihfb78x 2QEVR"
7,2022-08-08 23:14:02+00:00,hotdealenjoy,"BNK금융그룹, 탄소중립 선언…2050년까지 '넷제로' 달성 https://t.co/Y7yI5Exu0o OpKBh","BNK Financial Group, Carbon Neutral Declaration… By 2050, 'Netzero' achieved https://t.co/y7yi5exu0o OPKBH"
8,2022-08-08 21:19:17+00:00,sweetmangouuu,"BNK금융그룹, 탄소중립 선언…2050년까지 '넷제로' 달성 https://t.co/V1Q2MARC5o P5i0V","BNK Financial Group, Carbon Neutral Declaration… By 2050, 'Netzero' achieved https://t.co/v1Q2marc5o P5I0V"
9,2022-08-08 21:14:44+00:00,hwangeunyoung15,"[경제]
BNK금융그룹, 탄소중립 선언…2050년까지  넷제로  달성
219
https://t.co/RnZe2VcMQj","[economy]
BNK Financial Group, Carbon Neutral Declaration… Achieved with Netze by 2050
219
https://t.co/rnze2vcmqj"
10,2022-08-08 20:17:13+00:00,sunflowerrrr778,"BNK금융그룹, 탄소중립 선언…2050년까지 '넷제로' 달성 https://t.co/dz6Xd0nDKA Dd8aO","BNK Financial Group, Carbon Neutral Declaration… By 2050, 'Netzero' achieved https://t.co/dz6xd0ndka dd8ao"
